grid_id,centroid_lat,centroid_lon
2293,40.77479847636852,-123.81539879070736
2294,40.81980126046378,-123.81778241381372
2295,40.86480596262166,-123.8201690154469
2296,40.90981261501116,-123.82255860119017
2297,40.95482124987856,-123.82495117664084
2298,40.99983189954754,-123.8273467474102
2299,41.04484459641981,-123.82974531912356
2300,41.08985937297555,-123.83214689742026
2301,41.13487626177388,-123.83455148795392
2302,41.17989529545331,-123.83695909639222
2303,41.22491650673201,-123.8393697284171
2304,41.26993992840868,-123.84178338972472
2305,41.31496559336258,-123.84420008602564
2306,41.35999353455419,-123.8466198230447
2307,41.4050237850258,-123.84904260652117
2308,41.450056377901625,-123.85146844220868
2309,41.49509134638876,-123.85389733587552
2310,41.54012872377722,-123.85632929330438
2311,41.58516854344059,-123.8587643202926
2312,41.63021083883663,-123.86120242265208
2313,41.67525564350751,-123.86364360620944
2314,41.72030299108055,-123.86608787680603
2315,41.76535291526847,-123.86853524029794
2316,41.8104054498701,-123.87098570255608
2317,41.85546062877069,-123.87343926946625
2318,41.90051848594253,-123.87589594692908
2319,41.94557905544544,-123.87835574086026
2320,41.98206423172974,-123.88065171006323
2461,38.85202406942568,-123.64154743586026
2462,38.88986058562261,-123.65793698644292
2463,38.932699767078624,-123.66247836902268
2464,38.97765180682974,-123.66470944231644
2465,39.02259915031935,-123.66691796791558
2466,39.06756023172596,-123.66917654191523
2467,39.11251202067429,-123.67141899313434
2468,39.15746688824989,-123.67366097032358
2469,39.20242253650776,-123.6759056859704
2470,39.24737899506159,-123.67815314509262
2471,39.29233629358748,-123.68040335272042
2472,39.33729446182424,-123.68265631389616
2473,39.382253529573696,-123.68491203367472
2474,39.42721352670102,-123.68717051712316
2475,39.47217448313525,-123.689431769321
2476,39.51713642886957,-123.69169579536027
2477,39.56209939396166,-123.69396260034549
2478,39.60706340853406,-123.69623218939364
2479,39.65202850277469,-123.69850456763426
2480,39.69699470693705,-123.7007797402096
2481,39.74196205134062,-123.7030577122744
2482,39.7869305663714,-123.70533848899622
2483,39.83190028248224,-123.70762207555528
2484,39.87687123019308,-123.70990847714452
2485,39.92184344009146,-123.71219769896972
2486,39.96681694283284,-123.71448974624953
2487,40.01179176914123,-123.7167846242154
2488,40.0567679498092,-123.71908233811176
2489,40.10174551569868,-123.72138289319597
2490,40.14672449774093,-123.72368629473836
2491,40.19170492693739,-123.72599254802236
2492,40.23668683435977,-123.72830165834444
2493,40.28167025115052,-123.73061363101418
2494,40.32665520852334,-123.73292847135436
2495,40.371641737763554,-123.73524618470084
2496,40.41662987022839,-123.7375667764029
2497,40.4616196373476,-123.73989025182294
2498,40.506611070623656,-123.7422166163368
2499,40.55160420163259,-123.7445458753336
2500,40.596599062023664,-123.74687803421592
2501,40.641595683520656,-123.74921309839972
2502,40.68659409792166,-123.75155107331454
2503,40.7315943370999,-123.7538919644034
2504,40.776596433003824,-123.75623577712284
2505,40.82160041765781,-123.75858251694314
2506,40.866606323162536,-123.76093218934813
2507,40.91161418169537,-123.76328479983538
2508,40.95662402551085,-123.7656403539162
2509,41.00163588694102,-123.76799885711566
2510,41.046649798396096,-123.77036031497272
2511,41.09166579236473,-123.7727247330402
2512,41.13668390141456,-123.77509211688474
2513,41.18170415819254,-123.77746247208704
2514,41.22672659542564,-123.7798358042418
2515,41.27175124592097,-123.78221211895772
2516,41.31677814256654,-123.78459142185756
2517,41.36180731833164,-123.78697371857837
2518,41.40683880626716,-123.7893590147712
2519,41.45187263950628,-123.79174731610144
2520,41.49690885126475,-123.79413862824866
2521,41.54194747484158,-123.7965329569068
2522,41.58698854361928,-123.79893030778422
2523,41.632032091064445,-123.80133068660352
2524,41.67707815072836,-123.8037340991019
2525,41.722126756247405,-123.80614055103098
2526,41.76717794134337,-123.80855004815696
2527,41.81223173982412,-123.8109625962606
2528,41.85728818558416,-123.81337820113728
2529,41.90234731260511,-123.81579686859706
2530,41.94740915495581,-123.81821860446485
2531,41.982811519160165,-123.82063537513665
2671,38.80947786983122,-123.58711707416484
2672,38.84497586463527,-123.59991133495132
2673,38.88947097197797,-123.60259300421367
2674,38.934423451741104,-123.60478633058725
2675,38.97937656747232,-123.606982327975
2676,39.024330348486,-123.60918100125669
2677,39.06928482415697,-123.6113823553239
2678,39.11424002392127,-123.6135863950802
2679,39.15919597727584,-123.61579312544104
2680,39.20415271377941,-123.61800255133392
2681,39.24911026305284,-123.62021467769836
2682,39.29406865477904,-123.62242950948595
2683,39.3390279187038,-123.62464705166045
2684,39.383988084635945,-123.62686730919762
2685,39.42894918244783,-123.62909028708552
2686,39.47391124207546,-123.6313159903244
2687,39.518874293519104,-123.63354442392676
2688,39.56383836684368,-123.63577559291738
2689,39.60880349217884,-123.6380095023334
2690,39.65376969971965,-123.64024615722433
2691,39.69873701972697,-123.642485562652
2692,39.74370548252753,-123.64472772369083
2693,39.78867511851463,-123.64697264542764
2694,39.83364595814843,-123.64922033296176
