OBJECTID,SourceOID,ABCDMisc,ADSPermissionState,ContainmentDateTime,ControlDateTime,CreatedBySystem,IncidentSize,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalAcres,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,EstimatedFinalCost,OrganizationalAssessment,StrategicDecisionPublishDate,CreatedOnDateTime_dt,ModifiedOnDateTime_dt,IsCpxChild,CpxName,CpxID,SourceGlobalID,GlobalID,IncidentComplexityLevel
335752,28056076,,DEFAULT,9/10/2023 10:34:00 PM,,cfcad,0.01,0.01,CARRCC,,0.01,,,,,,,,Undetermined,,,,,9/10/2023 10:20:59 PM,,,,,,,,,OSCC,,,,,,SAGE,,WF,FI,33.671305,-116.968044,,,{A5DCD226-0969-40C8-AE4E-CBFACA1B8EF5},,0,,,0,,,,1,134651,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CAL FIRE,CARRU,US-CA,,,,,,2023-CARRU-134651,No Decision,,,,9/10/2023 10:21:46 PM,9/10/2023 11:16:40 PM,0,,,{C9B4972E-25C1-48C3-B2C5-33323A231285},10ccf845-fe65-4bc5-956f-10cda01076bd,
335753,28056077,,DEFAULT,,,cfcad,,0.01,CAFKCC,,,,,,,,,,Undetermined,,,,,9/10/2023 10:44:34 PM,,,,,,,,,OSCC,,,,,,MED,,WF,FI,36.56527,-119.595146,,,{7E44ABBF-01D2-4665-ABA3-5E0564345B92},,0,0.0,0.0,0,0.0,0.0,,1,018767,,,,Fresno,CASICC,06019,,,,Private,Private,,,,,,,SC05,CAL FIRE,CAFKU,US-CA,,,,,,2023-CAFKU-018767,No Decision,,,,9/10/2023 10:58:35 PM,9/10/2023 10:58:35 PM,0,,,{BB2BFEAF-7853-4630-A898-F4E9995EE707},1ac8bb12-7251-471d-83ad-cc8872ccba55,
335754,28056078,,DEFAULT,9/10/2023 11:14:43 PM,9/11/2023 12:20:51 AM,cfcad,0.5,0.01,CAMMCC,,0.5,,,,,,,,Undetermined,,,,,9/10/2023 10:03:13 PM,,,,,,,,,OSCC,,,,,,FRANKLIN,,WF,FI,37.321682,-120.543096,,,{3DFA037D-974A-45B6-8EDA-72979941C898},,0,0.0,0.0,0,0.0,0.0,,1,020288,,,,Merced,CAMMCC,06047,,,,Private,Private,,,,,,,SC05,CAL FIRE,CAMMU,US-CA,,,,,,2023-CAMMU-020288,No Decision,,,,9/10/2023 11:14:49 PM,9/11/2023 12:21:22 AM,0,,,{B1F842D3-9379-4187-A32F-52775548D780},18559e8c-a744-44b9-af1f-35a08c9bf42b,
335755,28056079,,DEFAULT,9/10/2023 11:17:56 PM,9/10/2023 11:17:59 PM,cfcad,0.01,0.01,CAMMCC,,0.01,,,,,,,,Undetermined,,,,,9/10/2023 10:56:04 PM,,,,,,,,,OSCC,,,,,,B ST  LIVINGSTON_CITY,,WF,FI,37.385953,-120.722426,,,{9E79B174-9ADA-44D4-A91C-263DEC86919A},,0,0.0,0.0,0,0.0,0.0,,1,020291,,,,Merced,CAMMCC,06047,,,,Private,Private,,,,,,,SC05,CAL FIRE,CAMMU,US-CA,,,,,,2023-CAMMU-020291,No Decision,,,,9/10/2023 11:18:03 PM,9/11/2023 7:54:03 PM,0,,,{8A8CF6A9-5389-4687-895B-54EB68641522},b61a6f6a-e772-4220-b4c2-23ff39880d06,
335756,28056080,,DEFAULT,9/10/2023 11:40:44 PM,9/11/2023 12:05:27 AM,cfcad,1.0,0.01,CACICC,,1.0,,,,,,,,Undetermined,,,,,9/10/2023 11:33:40 PM,,,,,,,,,ONCC,,,,,,MOSS,,WF,FI,38.9513,-119.94225,,,{284E6EAE-CE69-4806-BE36-8FF5029AF132},,0,0.0,0.0,0,0.0,0.0,,1,025091,,,,El Dorado,CACICC,06017,DVF,NVNWS,,State,Other,,,,,,,NC07,CAL FIRE,CAAEU,US-CA,,,,,,2023-CAAEU-025091,No Decision,,,,9/10/2023 11:40:50 PM,9/11/2023 12:05:36 AM,0,,,{539A933B-F79D-426F-9F91-977E616529BA},78e52bc6-6f53-48cf-917c-da64c5633e92,
335757,28056081,,DEFAULT,9/11/2023 1:40:00 AM,9/11/2023 1:40:00 AM,cfcad,0.01,0.01,CARICC,,,,,,,,,,Undetermined,,,,,9/10/2023 11:43:53 PM,,,,,,,,,ONCC,,,,,,OREGON,,WF,FI,40.622944,-122.319509,,,{E654CFCC-15F4-4E2E-A397-73C7534D723F},,0,,,0,,,,1,010142,,,,Shasta,CARICC,06089,,,,Private,Private,,,,,,,NC05,CAL FIRE,CASHU,US-CA,,,,,,2023-CASHU-010142,No Decision,,,,9/10/2023 11:44:42 PM,9/11/2023 1:43:38 AM,0,,,{E358B443-D326-41B6-A94D-E86B047CC693},a46e0193-18ce-419e-bc5d-093d4138c58a,
335758,28056082,,DEFAULT,9/11/2023 12:12:41 AM,,cfcad,0.01,0.01,CARRCC,,0.01,,,,,,,,Undetermined,,,,,9/10/2023 11:44:32 PM,,,,,,,,,OSCC,,,,,,AIRPORT BL / JACKSON ST,,WF,FI,33.642142,-116.216021,,,{4DC2E49B-4A18-4440-B2F1-9EFA2197FD5A},,0,0.0,0.0,0,0.0,0.0,,1,134677,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC12,CAL FIRE,CARRU,US-CA,,,,,,2023-CARRU-134677,No Decision,,,,9/11/2023 12:00:53 AM,9/11/2023 12:12:49 AM,0,,,{F1DF5DFE-5EA5-4DDB-AA72-53B590E59606},b75ce337-d87b-4f6f-93ea-bd1384e7b7d9,
335761,28056085,,DEFAULT,9/11/2023 1:23:00 AM,9/12/2023 1:03:00 PM,cfcad,0.5,0.01,CAGVCC,,0.5,,,,,,,,Undetermined,,,,,9/11/2023 12:56:41 AM,,,,,,,,,ONCC,,,,,,PFE,,WF,FI,38.728838,-121.383793,,,{C20C4E73-209B-454C-AF0F-125EBDD2A7BC},,0,0.0,0.0,0,0.0,0.0,,1,026268,,,,Placer,CAGVCC,06061,,,,Private,Private,,,,,,,NC05,CAL FIRE,CANEU,US-CA,,,,,,2023-CANEU-026268,No Decision,,,,9/11/2023 1:10:29 AM,9/12/2023 1:03:18 PM,0,,,{6E8E159B-0B2C-433C-B381-2FDFAD9DF381},729e253d-614e-4e32-81be-6cdb51f0ad75,
335762,28056086,,DEFAULT,9/11/2023 1:19:00 AM,,cfcad,0.01,0.01,CARRCC,,,,,,,,,,Undetermined,,,,,9/11/2023 1:00:51 AM,,,,,,,,,OSCC,,,,,,EL TORO RD / EL TORO CUT OFF RD,,WF,FI,33.722965,-117.33422,,,{8938E35A-DD82-48EC-84F8-26E47D4AB82C},,0,,,0,,,,1,134693,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CAL FIRE,CARRU,US-CA,,,,,,2023-CARRU-134693,No Decision,,,,9/11/2023 1:19:18 AM,9/11/2023 2:09:22 AM,0,,,{2F075AC9-7F3E-4CD9-BE59-10D868C9B3C7},6352495a-b415-4d06-9737-b2483ab05ac1,
335763,28056087,,DEFAULT,9/11/2023 1:19:00 AM,,cfcad,0.25,0.01,CALNCC,,,,,,,,,,Undetermined,,,,,9/11/2023 1:00:21 AM,,,,,,,,,ONCC,,,,,,RIVER,,WF,FI,38.824782,-123.010899,,,{AAAC0DF7-2FA2-4BD2-A356-0E3FF63FF8B2},,0,0.0,0.0,0,0.0,0.0,,1,017385,,,,Sonoma,CALNCC,06097,,,,Private,Private,,,,,,,NC02,CAL FIRE,CALNU,US-CA,,,,,,2023-CALNU-017385,No Decision,,,,9/11/2023 1:20:05 AM,9/11/2023 1:20:15 AM,0,,,{12B4C0E7-FC0C-4300-9064-58DB6904E7F6},1e9677b5-3c43-4335-a502-e616df2231fb,
