date,lat,lon,incident_id
2023-07-13,37.004295,-122.185075,{42F67633-466E-4B20-AE05-5A0E5F7CA03C}
2023-07-13,33.92849,-118.2397,{7684E93B-EB11-45A8-BE20-297C7551181C}
2023-07-13,34.67138,-118.12566,{41DB28F1-CB1A-4B29-ACB5-A384DE10355C}
2023-07-13,34.0073,-117.81675,{C623D5E5-A9BB-41FA-A79D-31CD2C0A5D5D}
2023-07-13,34.69022,-118.13039,{8AECB93A-1989-4C77-A18A-C7CFDF677C00}
2023-07-13,34.13236,-117.69863,{DDC7245A-B091-4E31-BD5E-A54E7077B73E}
2023-07-13,33.964578,-117.534341,{B6BC8964-AE3F-4026-8B90-CF2EF65A09F9}
2023-07-13,34.06425,-118.001,{CF05940A-4998-4752-806A-C026BD5BB922}
2023-07-13,33.757009,-116.295069,{028141EC-C2B7-4DD5-A214-88F3ECC4020B}
2023-07-13,33.87842,-118.14115,{5C90EA47-91C2-40D0-8D40-FF2A7FE48120}
2023-07-13,37.160566,-121.899007,{D20D0430-F507-418A-8108-7E6DE92AE1E3}
2023-07-13,39.018425,-121.10039,{1FFB1EEE-021C-4B99-ADD8-64C73D324B9D}
2023-07-13,34.06905,-118.06266,{204FDBBC-29DF-48A9-98B3-0D8D4F6E5C62}
2023-07-13,33.722052,-116.971497,{771B6F7D-960E-4C79-915D-3D7A1999FD21}
2023-07-13,36.57377,-118.754334,{A1A2A7DC-15E2-4923-8613-9582A1E54E48}
2023-07-13,34.06619,-117.8088,{6BF7EC83-B2B6-4B7B-BB92-FF5AC4FD510A}
2023-07-13,33.92119,-118.19984,{DADD4A29-0EAA-4D7E-A5A2-EBB08692D410}
2023-07-13,33.904093,-117.226294,{76E373B5-98BE-47C9-804A-CECAA7198776}
2023-07-13,35.435833,-118.885278,{AA400946-817E-4995-ACD9-2B28733C3A50}
2023-07-13,34.08073,-117.99764,{1FFA537D-E14D-48A0-91B1-FB4C74718DCF}
2023-07-13,38.403208,-121.171938,{D507D14D-559C-43C7-939E-EA82CA176435}
2023-07-13,33.91632,-118.26421,{0D36D85D-488B-4F9D-837D-903EB2BED0B2}
2023-07-13,36.728853,-121.278872,{D8809C1A-6991-4432-B9FA-DA4F3D78AB49}
2023-07-13,37.345911,-120.76009,{B2229479-EE2E-4B3F-92A8-FC32E39AF25F}
2023-07-13,36.700239,-119.089099,{5DD92997-B6C3-47A6-93AC-2FD97941F190}
2023-07-13,36.728529,-119.053374,{3FE7CB08-FFC9-45D1-9A46-D4D028A9E67A}
2023-07-13,36.708662,-119.699926,{B3D594E9-9B75-43D9-A12D-9BD76B8D1DE5}
2023-07-13,35.956884,-120.865083,{473CB1A4-DB51-43FF-BB2D-707B99D86146}
2023-07-13,33.851827,-117.313548,{39208170-42AD-4695-BECB-FEA2F493521A}
2023-07-13,34.716111,-120.1925,{8890982A-FC61-430B-81E2-56B2DBA9556C}
2023-07-13,37.168074,-119.78372,{F8F972E0-9512-49FC-BD76-05ECCB4B7C7D}
2023-07-13,36.732584,-119.057788,{D1CBB05B-E7A9-486E-B518-748BE9DD726E}
2023-07-13,34.006292,-117.405237,{F590562B-8F01-4FD8-86E5-84F46BD6CC1A}
2023-07-13,35.180556,-119.453889,{EC3D71E4-55C4-4566-B195-F402B582523B}
2023-07-13,34.06425,-118.001,{1662F9F1-C2FB-48C8-80D1-53DE45D93B95}
2023-07-13,39.630097,-121.45421,{DE681E44-E486-4FCB-BECD-FC50BFC6C83F}
2023-07-13,39.124319,-122.849297,{C4FCAA3B-FC9D-49A8-B4A9-4D580BE4FCE4}
