date,lat,lon,confidence
2023-07-06,38.04809,-119.93236,66
2023-07-06,38.0492,-119.93767,66
2023-07-06,38.04692,-119.92676,66
2023-07-06,38.04429,-119.93356,66
2023-07-06,38.04314,-119.92805,66
2023-07-06,38.04049,-119.9348,66
2023-07-06,38.05112,-119.93285,66
2023-07-06,38.04999,-119.92731,66
2023-07-06,38.04732,-119.93408,66
2023-07-06,38.04622,-119.9287,66
2023-07-06,38.04843,-119.9395,66
2023-07-06,38.04496,-119.92254,66
2023-07-06,38.04353,-119.93533,66
2023-07-06,38.04242,-119.92991,66
2023-07-06,37.8819,-121.18629,66
2023-07-06,38.0049,-121.93631,66
2023-07-06,38.0022,-121.93449,66
2023-07-06,37.75483,-121.6611,66
2023-07-06,36.27048,-118.98897,66
2023-07-06,36.5404,-120.28418,66
2023-07-06,34.62066,-117.09877,66
2023-07-06,34.60603,-117.33586,66
2023-07-06,34.60639,-117.33778,66
2023-07-06,34.42887,-118.64596,66
2023-07-06,34.33429,-118.52015,66
2023-07-06,34.31846,-118.51326,66
2023-07-06,34.29246,-118.79976,66
2023-07-06,34.15307,-118.19128,66
2023-07-06,32.74854,-114.57388,90
2023-07-06,33.00984,-115.60873,66
2023-07-06,35.53396,-115.45166,90
2023-07-06,37.86971,-120.2149,90
2023-07-06,37.86752,-120.22221,66
2023-07-06,37.86808,-120.21647,90
2023-07-06,37.87421,-120.2196,66
2023-07-06,38.0406,-119.92576,66
2023-07-06,38.04875,-119.92849,66
2023-07-06,39.00829,-121.67606,90
2023-07-06,39.00599,-121.68336,66
2023-07-06,39.00337,-121.67512,66
2023-07-06,39.00972,-121.67838,66
2023-07-06,39.10483,-121.63455,66
2023-07-06,39.01485,-121.96521,66
2023-07-06,39.10633,-121.64107,66
2023-07-06,39.01722,-121.96307,66
2023-07-06,39.14139,-121.94907,90
2023-07-06,39.14199,-121.95069,90
2023-07-06,39.82257,-121.97746,66
2023-07-06,39.82484,-121.97988,66
2023-07-06,39.8523,-121.98594,66
2023-07-06,35.14666,-118.11348,90
2023-07-06,35.14638,-118.11744,66
2023-07-06,35.14614,-118.11367,90
2023-07-06,35.14589,-118.11765,90
2023-07-06,37.86938,-120.20984,66
2023-07-06,37.86894,-120.21584,66
2023-07-06,37.8685,-120.22204,66
2023-07-06,38.034,-119.9343,66
2023-07-06,38.0393,-119.92892,90
2023-07-06,38.03984,-119.92147,66
2023-07-06,38.04419,-119.92938,66
2023-07-06,38.0491,-119.92958,66
2023-07-06,38.04869,-119.93526,66
2023-07-06,38.05402,-119.92965,66
2023-07-06,39.00166,-121.67934,66
2023-07-06,39.00356,-121.67665,66
2023-07-06,39.00805,-121.67724,66
2023-07-06,39.10202,-121.63777,66
2023-07-06,39.14136,-121.95151,90
2023-07-06,39.14183,-121.94601,66
2023-07-06,39.18848,-121.95927,66
2023-07-06,39.65799,-122.11033,66
2023-07-06,39.65752,-122.11584,66
2023-07-06,39.82279,-121.97941,66
2023-07-06,39.84903,-121.98868,66
2023-07-07,40.73613,-122.32553,66
2023-07-07,39.85268,-121.989,66
2023-07-07,39.84933,-121.9898,66
2023-07-07,39.65759,-122.11601,66
2023-07-07,38.05898,-119.92938,66
2023-07-07,38.05569,-119.93025,66
2023-07-07,38.0524,-119.93115,66
2023-07-07,38.05169,-119.92683,66
2023-07-07,38.04911,-119.93201,66
2023-07-07,38.04652,-119.93714,66
2023-07-07,38.04512,-119.92859,66
2023-07-07,38.04182,-119.92945,66
2023-07-07,38.03995,-119.93893,66
2023-07-07,38.03924,-119.93461,66
2023-07-07,38.03667,-119.9398,66
2023-07-07,38.03595,-119.93547,66
2023-07-07,38.31472,-121.83421,66
2023-07-07,37.75943,-119.56509,66
2023-07-07,38.06097,-121.49374,66
2023-07-07,37.88234,-121.18587,66
2023-07-07,38.01477,-122.11205,66
2023-07-07,37.44426,-120.79884,66
2023-07-07,36.70351,-119.89332,66
2023-07-07,36.02331,-119.12163,66
2023-07-07,34.6228,-117.10178,66
2023-07-07,34.60678,-117.33717,66
2023-07-07,34.35373,-116.85074,66
2023-07-07,34.43044,-118.64645,66
2023-07-07,34.14293,-117.42983,66
2023-07-07,34.33462,-118.51971,66
2023-07-07,34.32504,-118.5277,66
2023-07-07,34.31874,-118.5137,66
2023-07-07,34.07953,-117.50282,66
2023-07-07,34.07761,-117.49924,66
2023-07-07,34.29157,-118.80145,66
2023-07-07,33.87476,-116.99738,66
2023-07-07,33.79556,-117.47601,66
2023-07-07,38.03806,-119.9351,66
2023-07-07,38.04185,-119.93558,66
2023-07-07,38.04621,-119.93089,66
2023-07-07,38.04565,-119.93604,66
2023-07-07,39.00142,-121.43594,66
2023-07-07,39.14393,-121.9555,66
2023-07-07,39.65527,-121.78884,66
2023-07-07,39.65464,-121.79404,66
2023-07-08,38.05217,-119.92982,66
2023-07-08,38.04927,-119.93621,66
2023-07-08,38.04857,-119.93047,66
2023-07-08,38.04568,-119.9369,66
2023-07-08,38.04498,-119.93113,66
2023-07-08,38.04209,-119.93755,66
2023-07-08,38.03849,-119.93811,66
2023-07-08,38.0707,-122.13879,66
