LAT,LON,WS10M,DATE
35.5,-120.0,2.71,2020-06-01
36.0,-124.375,6.74,2020-06-01
36.0,-123.75,6.53,2020-06-01
36.0,-123.125,6.61,2020-06-01
36.0,-122.5,6.37,2020-06-01
36.0,-121.875,5.3,2020-06-01
36.0,-121.25,2.6,2020-06-01
36.0,-120.625,2.08,2020-06-01
36.0,-120.0,2.09,2020-06-01
36.5,-124.375,7.01,2020-06-01
36.5,-123.75,6.74,2020-06-01
36.5,-123.125,6.47,2020-06-01
36.5,-122.5,5.92,2020-06-01
36.5,-121.875,3.64,2020-06-01
36.5,-121.25,2.29,2020-06-01
36.5,-120.625,2.58,2020-06-01
36.5,-120.0,2.09,2020-06-01
37.0,-124.375,7.16,2020-06-01
37.0,-123.75,6.84,2020-06-01
37.0,-123.125,6.33,2020-06-01
37.0,-122.5,5.22,2020-06-01
37.0,-121.875,2.45,2020-06-01
37.0,-121.25,2.77,2020-06-01
37.0,-120.625,3.38,2020-06-01
37.0,-120.0,2.02,2020-06-01
37.5,-124.375,7.28,2020-06-01
37.5,-123.75,6.62,2020-06-01
37.5,-123.125,5.77,2020-06-01
37.5,-122.5,4.03,2020-06-01
37.5,-121.875,3.23,2020-06-01
37.5,-121.25,3.05,2020-06-01
37.5,-120.625,2.64,2020-06-01
37.5,-120.0,1.48,2020-06-01
38.0,-124.375,7.98,2020-06-01
38.0,-123.75,6.68,2020-06-01
38.0,-123.125,4.84,2020-06-01
38.0,-122.5,3.3,2020-06-01
38.0,-121.875,4.03,2020-06-01
38.0,-121.25,3.37,2020-06-01
38.0,-120.625,1.75,2020-06-01
38.0,-120.0,1.78,2020-06-01
38.5,-124.375,8.34,2020-06-01
38.5,-123.75,6.58,2020-06-01
38.5,-123.125,3.07,2020-06-01
38.5,-122.5,2.58,2020-06-01
38.5,-121.875,3.25,2020-06-01
38.5,-121.25,2.81,2020-06-01
38.5,-120.625,1.92,2020-06-01
38.5,-120.0,2.0,2020-06-01
39.0,-124.375,8.77,2020-06-01
39.0,-123.75,4.2,2020-06-01
39.0,-123.125,1.37,2020-06-01
39.0,-122.5,2.13,2020-06-01
39.0,-121.875,2.74,2020-06-01
39.0,-121.25,2.54,2020-06-01
39.0,-120.625,1.76,2020-06-01
39.0,-120.0,2.32,2020-06-01
39.5,-124.375,8.55,2020-06-01
39.5,-123.75,2.39,2020-06-01
39.5,-123.125,1.05,2020-06-01
39.5,-122.5,1.47,2020-06-01
39.5,-121.875,2.68,2020-06-01
39.5,-121.25,2.06,2020-06-01
39.5,-120.625,1.53,2020-06-01
39.5,-120.0,2.12,2020-06-01
40.0,-124.375,7.34,2020-06-01
40.0,-123.75,1.51,2020-06-01
40.0,-123.125,0.89,2020-06-01
40.0,-122.5,1.6,2020-06-01
40.0,-121.875,2.34,2020-06-01
40.0,-121.25,1.63,2020-06-01
40.0,-120.625,1.82,2020-06-01
40.0,-120.0,1.96,2020-06-01
40.5,-124.375,5.77,2020-06-01
40.5,-123.75,1.19,2020-06-01
40.5,-123.125,0.85,2020-06-01
40.5,-122.5,0.96,2020-06-01
40.5,-121.875,1.53,2020-06-01
40.5,-121.25,1.71,2020-06-01
40.5,-120.625,2.04,2020-06-01
40.5,-120.0,2.44,2020-06-01
41.0,-124.375,5.7,2020-06-01
41.0,-123.75,1.0,2020-06-01
41.0,-123.125,0.91,2020-06-01
41.0,-122.5,0.93,2020-06-01
41.0,-121.875,1.18,2020-06-01
41.0,-121.25,2.3,2020-06-01
41.0,-120.625,2.52,2020-06-01
41.0,-120.0,2.55,2020-06-01
41.5,-124.375,6.28,2020-06-01
41.5,-123.75,1.3,2020-06-01
41.5,-123.125,1.01,2020-06-01
41.5,-122.5,1.36,2020-06-01
41.5,-121.875,1.43,2020-06-01
41.5,-121.25,2.25,2020-06-01
41.5,-120.625,2.84,2020-06-01
41.5,-120.0,2.67,2020-06-01
42.0,-124.375,5.02,2020-06-01
42.0,-123.75,1.6,2020-06-01
42.0,-123.125,1.22,2020-06-01
42.0,-122.5,1.19,2020-06-01
42.0,-121.875,2.01,2020-06-01
