LAT,LON,T2M,DATE,PS,WS10M,PRECTOTCORR,RH2M
40.5,-120.0,16.95,2020-06-01,85.45,2.44,0.38,54.49
41.0,-124.375,12.75,2020-06-01,100.85,5.7,0.07,90.08
41.0,-123.75,14.24,2020-06-01,94.24,1.0,0.86,82.96
41.0,-123.125,13.4,2020-06-01,87.85,0.91,1.35,81.61
41.0,-122.5,15.19,2020-06-01,89.57,0.93,0.73,74.69
41.0,-121.875,15.32,2020-06-01,89.66,1.18,0.87,74.47
41.0,-121.25,14.42,2020-06-01,86.04,2.3,0.67,69.49
41.0,-120.625,13.8,2020-06-01,82.93,2.52,0.66,64.34
41.0,-120.0,14.81,2020-06-01,82.58,2.55,0.68,57.08
41.5,-124.375,13.08,2020-06-01,100.7,6.28,0.06,86.27
41.5,-123.75,14.31,2020-06-01,93.6,1.3,0.74,80.58
41.5,-123.125,13.17,2020-06-01,88.07,1.01,1.41,79.8
41.5,-122.5,13.13,2020-06-01,86.76,1.36,0.66,74.8
41.5,-121.875,12.58,2020-06-01,85.01,1.43,0.7,75.19
41.5,-121.25,14.38,2020-06-01,85.52,2.25,0.29,67.37
41.5,-120.625,14.47,2020-06-01,84.22,2.84,0.73,63.96
41.5,-120.0,14.16,2020-06-01,82.65,2.67,1.09,61.62
42.0,-124.375,12.59,2020-06-01,99.85,5.02,0.03,82.84
42.0,-123.75,13.19,2020-06-01,93.3,1.6,0.39,80.33
42.0,-123.125,11.71,2020-06-01,89.15,1.22,0.89,82.81
42.0,-122.5,12.34,2020-06-01,87.95,1.19,0.65,76.58
42.0,-121.875,12.86,2020-06-01,85.95,2.01,0.47,72.25
42.0,-121.25,14.52,2020-06-01,85.76,2.49,0.34,63.73
42.0,-120.625,13.71,2020-06-01,83.79,2.5,0.75,65.72
42.0,-120.0,14.14,2020-06-01,83.06,2.84,1.03,61.93
32.5,-124.375,16.26,2020-06-02,101.82,6.97,0.36,82.21
32.5,-123.75,16.16,2020-06-02,101.78,6.65,0.23,83.21
32.5,-123.125,16.11,2020-06-02,101.73,6.77,0.07,83.78
32.5,-122.5,16.11,2020-06-02,101.68,7.15,0.05,85.66
32.5,-121.875,16.04,2020-06-02,101.65,7.67,0.05,87.42
32.5,-121.25,15.79,2020-06-02,101.58,7.91,0.03,89.01
32.5,-120.625,15.51,2020-06-02,101.53,8.19,0.0,90.61
32.5,-120.0,15.5,2020-06-02,101.48,8.54,0.0,91.02
33.0,-124.375,16.16,2020-06-02,101.81,7.39,0.29,82.83
33.0,-123.75,16.07,2020-06-02,101.76,7.1,0.21,84.17
33.0,-123.125,15.92,2020-06-02,101.72,7.13,0.06,85.11
33.0,-122.5,15.82,2020-06-02,101.66,7.43,0.01,86.94
33.0,-121.875,15.72,2020-06-02,101.62,7.85,0.01,88.78
33.0,-121.25,15.46,2020-06-02,101.55,8.04,0.0,90.23
