incident_id,date,lat,lon,state,type
{0FE70D4F-A939-4542-A75C-4C1D12BE57E9},2023-07-15,38.08654,-120.484999,US-CA,WF
{0FE8921C-DD43-45A0-A004-7A80F7E33149},2023-07-13,33.91639,-118.3694,US-CA,WF
{0FE8F9A4-2AE2-4B6F-BB94-6EF6801FBE66},2023-07-04,36.435205,-121.319647,US-CA,WF
{101DDFA0-B206-45F4-A8CF-6DF394B0589F},2023-07-05,34.43194,-118.34987,US-CA,WF
{105243F0-3236-4463-9B2D-3D3CE8624C6C},2023-07-30,33.539248,-117.144644,US-CA,WF
{108E3807-97C1-467F-A126-C8D5364D0512},2023-07-18,39.76122,-121.626707,US-CA,WF
{109E5F1F-987D-435E-82D1-2D1B03716AD9},2023-07-24,34.41534,-118.39427,US-CA,WF
{10AD348D-83BA-4293-B8F7-FC678F06EFF0},2023-07-05,33.834094,-117.196831,US-CA,WF
{10C57F2C-41EB-4FCA-A165-8A9306D4293A},2023-07-22,33.74237,-117.462564,US-CA,WF
{10EB3FD3-A76A-43CD-94E3-CA1F11F9B1CF},2023-07-04,33.939427,-117.558636,US-CA,WF
{1135055A-C24A-4B89-80B4-8E25118C4964},2023-07-25,33.672103,-116.179507,US-CA,WF
{11353451-2523-4B87-BAE1-3D9F1CB1A68E},2023-07-04,33.670478,-116.186117,US-CA,WF
{11473EE0-4439-4C04-BA39-154EF7C2B786},2023-07-09,33.97163,-118.08757,US-CA,WF
{115931D1-2F75-467E-B275-F099C0480E8A},2023-07-16,34.41743,-118.54912,US-CA,WF
{115BE566-E8C2-44FA-9DD6-755D6C702587},2023-07-14,33.93906,-117.23523,US-CA,WF
{11622232-9EB6-4942-9E98-DE720A463F56},2023-07-18,33.924554,-116.876723,US-CA,WF
{11645D55-B2B9-4020-8078-8F8C2E098AF1},2023-07-15,33.814383,-116.41034,US-CA,WF
{1189A444-7231-4CA6-8BD6-9DC8784DF772},2023-07-01,38.434437,-121.996525,US-CA,WF
{119EEE45-BFBC-4239-922F-6635312AA29C},2023-07-22,34.68933,-118.16894,US-CA,WF
{11A84BE1-A559-443B-A0DE-15580C454A45},2023-07-05,33.520356,-116.952824,US-CA,WF
{11A94FF9-3C48-4D41-8D93-BB96AF74FCF4},2023-07-04,33.947023,-116.824492,US-CA,WF
{11ABDA60-1B36-4F39-96D3-F45B11EB5595},2023-07-22,40.160882,-122.233338,US-CA,WF
{11C1D22C-D2A6-40E5-8168-2723C089F1D2},2023-07-27,38.655244,-121.077986,US-CA,WF
{11C9948C-2CBA-4288-A16C-DB235FCB200E},2023-07-30,33.27554,-116.862233,US-CA,WF
{1229D0EB-2502-4535-A1E7-F5E8252A8514},2023-07-15,34.56205,-118.65741,US-CA,WF
{1238ADAD-616F-4E6C-AE26-B7FDFBA0664D},2023-07-02,37.32685,-122.3865,US-CA,WF
{124B58F0-F6AA-4250-A3AF-BA7744772B6A},2023-07-20,41.787283,-124.194767,US-CA,WF
{1253AE9A-F94C-4B49-B3AB-E035445BE093},2023-07-01,34.00965,-118.03558,US-CA,WF
{125DA579-BD30-4A80-84C5-41BCD3E5BFFE},2023-07-15,34.63515,-118.2281,US-CA,WF
{12674EC3-6C7C-48AA-91F3-DF454356D760},2023-07-24,34.0679,-118.0287,US-CA,WF
{1291BE0D-B678-43CD-BEDC-DB0248FE5070},2023-07-23,33.66401,-116.164196,US-CA,WF
{12A2C5AE-66C4-473A-BAB4-7CB0D8C78967},2023-07-04,34.1101,-117.90542,US-CA,WF
{12A3D04B-8B1E-4771-ACE0-9A586AD5CF19},2023-07-27,40.28502,-122.318686,US-CA,WF
{12E135EA-8738-4B67-BEF1-DCF9CBC0F4BD},2023-07-27,34.13186,-117.8187,US-CA,WF
{12EF0049-EF99-44F5-A304-5634E9585332},2023-07-04,33.948872,-116.480197,US-CA,WF
{12F4DDD6-B407-429D-99B7-D0240265D970},2023-07-17,36.968565,-120.063291,US-CA,WF
{132A48F0-3BC1-455B-BFB0-120585796EC7},2023-07-16,33.92911,-118.2379,US-CA,WF
{132E55C3-C510-4B03-AD7F-4A4FDD18D08B},2023-07-11,33.786516,-117.256906,US-CA,WF
{132F6E66-ACA7-46E0-A3CC-6AE3F348B5DF},2023-07-04,37.259059,-120.99665,US-CA,WF
{133764B2-469C-4069-988B-393C301313E7},2023-07-27,40.807184,-122.322224,US-CA,WF
{134AC51A-DC67-4AC5-8E0F-3F90FED1BA4C},2023-07-06,33.97534,-117.509131,US-CA,WF
{13A035E0-3BD2-475D-B2FB-00DB88FBE93E},2023-07-14,33.99407,-117.8934,US-CA,WF
{13D245CD-AED1-4887-90F9-550161F7F007},2023-07-16,33.939569,-116.510041,US-CA,WF
{1412A141-F2FE-4CD9-A972-DEE130EEC80A},2023-07-17,37.4048,-118.707,US-CA,WF
{143F6A18-C7C8-4605-B27A-0FA950C5FE48},2023-07-04,34.05644,-118.16932,US-CA,WF
{14438137-01ED-4F99-AAEA-9B7F7405EED5},2023-07-23,41.704933,-122.644661,US-CA,WF
{14503864-72E5-404B-8F7E-2F8B6B716D50},2023-07-02,41.768167,-121.720033,US-CA,WF
