grid_id,lon,lat
CA5K_00361,-123.79845337779105,40.59536368734606
CA5K_00362,-123.80082052626773,40.64035928369662
CA5K_00363,-123.80319062535494,40.685356670779754
CA5K_00364,-123.80556368057,40.73035588046206
CA5K_00365,-123.80793969744394,40.77535694468531
CA5K_00366,-123.81031868152162,40.82035989546741
CA5K_00367,-123.81270063836172,40.86536476490227
CA5K_00368,-123.81508557353688,40.91037158516053
CA5K_00369,-123.81747349263358,40.95538038849
CA5K_00370,-123.81986440125232,41.00039120721611
CA5K_00371,-123.8222583050076,41.04540407374218
CA5K_00372,-123.82465520952796,41.09041902055008
CA5K_00373,-123.82705512045615,41.13543608020055
CA5K_00374,-123.8294580434489,41.18045528533372
CA5K_00375,-123.83186398417725,41.22547666866958
CA5K_00376,-123.83427294832647,41.27050026300839
CA5K_00377,-123.83668494159609,41.31552610123113
CA5K_00378,-123.83909996969993,41.36055421630006
CA5K_00379,-123.84151803836625,41.4055846412591
CA5K_00380,-123.8439391533377,41.45061740923423
CA5K_00381,-123.84636332037137,41.49565255343424
CA5K_00382,-123.84879054523888,41.54069010715093
CA5K_00383,-123.85122083372643,41.585730103759595
CA5K_00384,-123.85365419163476,41.63077257671982
CA5K_00385,-123.8560906247793,41.67581755957549
CA5K_00386,-123.85853013899016,41.72086508595564
CA5K_00387,-123.86097274011217,41.765915189574905
CA5K_00388,-123.86341843400498,41.81096790423376
CA5K_00389,-123.86586722654305,41.856023263819424
CA5K_00390,-123.86831912361572,41.90108130230591
CA5K_00391,-123.87077413112726,41.94614205375484
CA5K_00392,-123.87309238694723,41.98239933042862
CA5K_00393,-123.63538738751329,38.85284915151464
CA5K_00394,-123.65073025864795,38.89033289730173
CA5K_00395,-123.655204039699,38.933248441895415
CA5K_00396,-123.65743070043685,38.97820062331182
CA5K_00397,-123.6596600743343,39.0231534680966
CA5K_00398,-123.66189216635078,39.06810700561911
CA5K_00399,-123.66412698145795,39.113061265309746
CA5K_00400,-123.66636452463946,39.15801627666002
CA5K_00401,-123.66860480089117,39.20297206922312
CA5K_00402,-123.67084781522114,39.24792867261415
CA5K_00403,-123.67309357264966,39.292886116510566
