date,grid_id
2023-07-17,CA5K_13633
2023-07-11,CA5K_13249
2023-07-04,CA5K_14927
2023-07-02,CA5K_07225
2023-07-04,CA5K_11733
2023-07-29,CA5K_08362
2023-07-14,CA5K_04849
2023-07-31,CA5K_05410
2023-07-15,CA5K_01106
2023-07-04,CA5K_07185
2023-07-04,CA5K_11484
2023-07-15,CA5K_09530
2023-07-20,CA5K_02799
2023-07-30,CA5K_12177
2023-07-31,CA5K_09521
2023-07-17,CA5K_11485
2023-07-03,CA5K_07567
2023-07-27,CA5K_07379
2023-07-28,CA5K_11558
2023-07-14,CA5K_01679
2023-07-29,CA5K_13433
2023-07-08,CA5K_11558
2023-07-19,CA5K_05729
2023-07-08,CA5K_06043
2023-07-21,CA5K_12435
2023-07-11,CA5K_11284
2023-07-10,CA5K_07199
2023-07-10,CA5K_04189
2023-07-07,CA5K_13244
2023-07-27,CA5K_11652
2023-07-03,CA5K_07075
2023-07-29,CA5K_10899
2023-07-17,CA5K_05489
2023-07-15,CA5K_11187
2023-07-07,CA5K_13239
2023-07-10,CA5K_11645
2023-07-25,CA5K_06531
2023-07-27,CA5K_05889
2023-07-12,CA5K_01009
2023-07-10,CA5K_05318
2023-07-19,CA5K_11558
2023-07-04,CA5K_07104
2023-07-22,CA5K_03463
2023-07-19,CA5K_05869
2023-07-29,CA5K_11558
2023-07-30,CA5K_12698
2023-07-04,CA5K_11575
2023-07-23,CA5K_09035
2023-07-29,CA5K_13820
2023-07-06,CA5K_15005
2023-07-01,CA5K_16787
2023-07-26,CA5K_13056
2023-07-11,CA5K_04541
2023-07-11,CA5K_02173
2023-07-05,CA5K_11185
2023-07-06,CA5K_13336
2023-07-10,CA5K_11575
2023-07-26,CA5K_11558
2023-07-10,CA5K_04321
2023-07-10,CA5K_02189
2023-07-22,CA5K_01179
2023-07-27,CA5K_05278
2023-07-03,CA5K_02181
2023-07-03,CA5K_02687
2023-07-09,CA5K_05175
2023-07-03,CA5K_12002
2023-07-18,CA5K_12959
2023-07-29,CA5K_13525
2023-07-17,CA5K_14239
2023-07-18,CA5K_14250
2023-07-22,CA5K_02578
2023-07-05,CA5K_13145
2023-07-30,CA5K_11647
2023-07-26,CA5K_12698
2023-07-31,CA5K_11660
2023-07-14,CA5K_13235
2023-07-13,CA5K_09520
2023-07-23,CA5K_04906
2023-07-04,CA5K_11575
2023-07-17,CA5K_01009
2023-07-09,CA5K_14240
2023-07-05,CA5K_08509
2023-07-06,CA5K_08233
2023-07-04,CA5K_11748
2023-07-20,CA5K_01626
2023-07-29,CA5K_14524
2023-07-04,CA5K_09121
2023-07-05,CA5K_11660
2023-07-05,CA5K_13820
2023-07-04,CA5K_11575
2023-07-21,CA5K_08817
2023-07-07,CA5K_06878
2023-07-02,CA5K_02639
2023-07-25,CA5K_04705
2023-07-12,CA5K_02811
2023-07-26,CA5K_11736
2023-07-27,CA5K_05611
2023-07-26,CA5K_08636
2023-07-21,CA5K_12611
2023-07-04,CA5K_09120
2023-07-24,CA5K_11575
2023-07-05,CA5K_08417
2023-07-07,CA5K_08061
2023-07-19,CA5K_07367
2023-07-02,CA5K_01428
2023-07-04,CA5K_11661
2023-07-04,CA5K_14771
2023-07-12,CA5K_13153
2023-07-14,CA5K_13055
2023-07-13,CA5K_12176
2023-07-26,CA5K_13632
2023-07-19,CA5K_12787
2023-07-27,CA5K_11558
2023-07-26,CA5K_11824
2023-07-22,CA5K_03464
2023-07-29,CA5K_13234
