OBJECTID,SourceOID,ABCDMisc,ADSPermissionState,ContainmentDateTime,ControlDateTime,CreatedBySystem,IncidentSize,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalAcres,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,EstimatedFinalCost,OrganizationalAssessment,StrategicDecisionPublishDate,CreatedOnDateTime_dt,ModifiedOnDateTime_dt,IsCpxChild,CpxName,CpxID,SourceGlobalID,GlobalID,IncidentComplexityLevel
318355,28038678,,DEFAULT,7/3/2023 6:10:00 AM,7/3/2023 6:10:00 AM,cfcad,0.01,0.01,CALNCC,,0.01,,,,,,,,Undetermined,,,,,7/3/2023 5:42:20 AM,,,,,,,,,ONCC,,,,,,HWY 101  N/ CITRUS FAIR DR,,WF,FI,38.822092,-123.014199,,,{3B91DF1C-5EC8-4717-8D5E-50580FE7C0C1},,0,0.0,0.0,0,0.0,0.0,,1,012380,,,,Sonoma,CALNCC,06097,,,,Private,Private,,,,,,,NC02,CAL FIRE,CALNU,US-CA,,,,,,2023-CALNU-012380,No Decision,,,,7/3/2023 6:11:11 AM,7/3/2023 6:11:39 AM,0,,,{41D4342C-83E3-4755-89DB-B87CE50E09C3},7a9ce988-96bb-4936-af1d-c7a452ffa389,
318376,28038699,,DEFAULT,,,cfcad,,0.01,CARRCC,,,,,,,,,,Undetermined,,,,,7/3/2023 8:06:15 AM,,,,,,,,,OSCC,,,,,,COTTONWOOD AV / NASON ST,,WF,FI,33.924604,-117.191523,,,{BFB1F491-25D6-4D6F-A895-60FB61893040},,0,0.0,0.0,0,0.0,0.0,,1,096236,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CAL FIRE,CARRU,US-CA,,,,,,2023-CARRU-096236,No Decision,,,,7/3/2023 8:27:50 AM,7/3/2023 8:27:50 AM,0,,,{E9504F64-AE1E-49CC-95E2-FB3F8FD6D727},330bca15-4bdd-4074-a1cd-4813aaada0f8,
318377,28038700,,DEFAULT,7/3/2023 9:07:00 AM,,cfcad,0.01,0.01,CATGCC,,0.01,,,,,,,,Undetermined,,,,,7/3/2023 8:27:21 AM,,,,,,,,,ONCC,,,,,,PASKENTA,,WF,FI,40.163369,-122.256649,,,{4FA14D9D-F30F-46E2-BDA0-5DF2A974936D},,0,,,0,,,,1,007530,,,,Tehama,CATGCC,06103,,,,Private,Private,,,,,,,NC05,CAL FIRE,CATGU,US-CA,,,,,,2023-CATGU-007530,No Decision,,,,7/3/2023 8:28:03 AM,7/3/2023 9:30:26 AM,0,,,{48F688B9-A42F-4ED4-BECC-D3A02B58DBF0},c5fd9586-da7c-48e8-bb2f-633bd501736d,
318388,28038712,,DEFAULT,7/3/2023 8:57:00 AM,7/3/2023 8:57:00 AM,cfcad,0.01,0.01,CARICC,,0.01,,,,,,,,Undetermined,,,,,7/3/2023 8:52:29 AM,,,,,,,,,ONCC,,,,,,CANYON,,WF,FI,40.506457,-122.379512,,,{D49D23FB-DFA2-434E-BA6E-B634ABC8963F},,0,0.0,0.0,0,0.0,0.0,,1,007039,,,,Shasta,CARICC,06089,,,,Private,Private,,,,,,,NC05,CAL FIRE,CASHU,US-CA,,,,,,2023-CASHU-007039,No Decision,,,,7/3/2023 9:05:35 AM,7/3/2023 9:05:48 AM,0,,,{7E135B19-311D-4C9B-9F0E-D2886334D475},2d5c9a17-9866-47b4-a451-add17fbd7cb1,
318393,28038716,,DEFAULT,7/3/2023 10:00:00 AM,7/8/2023 6:07:00 PM,cfcad,0.01,0.01,CACICC,,0.01,,,,,,,,Undetermined,,,QA9W,,7/3/2023 8:59:27 AM,,,,,,,,,ONCC,,,,,,LUNEMAN,,WF,FI,38.768742,-120.939859,,,{30131907-2C08-4AC4-8AE3-27372BC1338E},,0,1.0,1.0,0,1.0,1.0,,1,017885,,,,El Dorado,CACICC,06017,,,,Private,Private,,,,,,,NC05,CAL FIRE,CAAEU,US-CA,,,,,,2023-CAAEU-017885,No Decision,,,,7/3/2023 9:15:23 AM,7/8/2023 6:07:51 PM,0,,,{61EA8173-08E3-429E-BA63-3B07D29AFAC4},9118df70-d453-4471-8f33-3f4ce4289646,
318394,28038717,,DEFAULT,7/3/2023 9:56:00 AM,7/3/2023 11:30:48 AM,cfcad,0.01,0.01,CACICC,,,,,,,,,,Undetermined,,,QA9Z,,7/3/2023 9:21:45 AM,,,,,,,,,ONCC,,,,,,MOTEL 6,,WF,FI,38.921398,-119.992304,,,{6F7A242D-0AA6-401F-98C1-62B636A19EED},,0,1.0,1.0,0,1.0,1.0,,1,017889,,,,El Dorado,CACICC,06017,,,,Private,Private,,,,,,,NC07,CAL FIRE,CAAEU,US-CA,,,,,,2023-CAAEU-017889,No Decision,,,,7/3/2023 9:34:34 AM,7/3/2023 11:30:57 AM,0,,,{7E9820A1-BD59-47C4-9B5B-262FC48F886C},d6485679-ae1e-4488-9870-5a2b1344a101,
318403,28038726,,DEFAULT,,,IROC,,,CAORCC,,,,,,,,,,,,,,,7/3/2023 10:13:00 AM,,,,,,,,,OSCC,,,,,,Gypsum,,WF,FI,,,,,{D2DC21FF-63D7-428E-9E45-54E326251F06},,0,,,0,,,,1,088171,,,,Orange,CAORCC,06059,,,,Private,Private,,,,,,,SC08,CAL FIRE,CAORC,US-CA,,,,,,2023-CAORC-088171,No Decision,,,,7/3/2023 10:18:38 AM,7/3/2023 10:18:38 AM,0,,,{ED6CA112-EEEC-49AE-9C6F-D569E8C49835},27d8ed32-1999-48fd-bacb-bc8ac461bea7,
318415,28038738,,DEFAULT,7/3/2023 11:22:00 AM,7/3/2023 12:12:00 PM,cfcad,0.25,0.01,CASDIC,,0.25,,,,,,,,Undetermined,,,,,7/3/2023 10:53:16 AM,,,,,,,,,OSCC,,,,,,CRESTWOOD,,WF,FI,32.705156,-116.360819,,,{AB6CA1A4-5848-4CDC-A9EE-897FC053918E},,0,0.0,0.0,0,0.0,0.0,,1,015611,,,,San Diego,CASDIC,06073,BIA,CASCA,,BIA,Federal,,,,,,,SC11,CAL FIRE,CASDU,US-CA,,,,,,2023-CASDU-015611,No Decision,,,,7/3/2023 11:23:56 AM,7/3/2023 12:13:31 PM,0,,,{DDF6E039-EA2F-4421-81FB-752832CC371A},4a461ad8-a75b-47db-a023-5e7508fc0dc5,
318419,28038742,,DEFAULT,,,lacocad,,0.01,CALACC,,,,,,,,,,Undetermined,,,,,7/3/2023 11:38:57 AM,,,,,,,,,OSCC,,,,,,LAC-220104,,WF,FI,33.99521,-118.09491,,,{8754B342-46FD-4881-8FCF-B98D15A950F5},,0,,,0,,,,1,220104,,,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2023-CALAC-220104,No Decision,,,,7/3/2023 11:40:48 AM,7/3/2023 11:40:48 AM,0,,,{588C935E-7DDB-43E8-AB28-84C2F40FEFA2},5215d243-558d-42a9-a29d-2261812509a1,
318427,28038749,,DEFAULT,7/3/2023 2:04:00 PM,7/3/2023 2:05:00 PM,cfcad,0.01,0.01,CACICC,,0.01,,,,,,,,Undetermined,,,QBA3,,7/3/2023 11:43:32 AM,,1688588340000.0,,,,,P5,0503,ONCC,,,,,,COVE,,WF,FI,38.880382,-120.428149,,,{4BB4A0F2-BA95-432C-B150-911D38FB9550},,0,0.0,0.0,0,0.0,1.0,,1,017904,,,,El Dorado,CACICC,06017,USFS,CAENF,,USFS,Federal,,,,,,,NC07,USFS,CAENF,US-CA,,,,,,2023-CAENF-017904,No Decision,,,,7/3/2023 11:55:13 AM,7/5/2023 1:31:06 PM,0,,,{07D34E1A-47EF-4FD9-BB87-3D34418C7902},f6b0bd2e-34ca-446e-9b1c-ce630cca36c5,
